id,area,feature,user_story,expected_behavior,source_refs,verify_method,p1_catalog,p2_test_status,p2_evidence,error_found,severity,error_type,p3_fix_status,p3_fix_ref,p4_retest_status,notes
WEB-01,web,Marketing nav (scroll-reveal sticky bar),"As a visitor, I can use a top navigation bar that appears after I start scrolling so that I can jump to sections or sign in without it covering the hero wallpaper.","Fixed top bar starts hidden (opacity 0, translated up, pointer-events-none) and slides in once window.scrollY exceeds 60% of viewport height, hiding again on scroll back up. Holds the dhizume Wordmark, anchor links #how/#pricing/#faq (each with a pose icon, hidden below md), a 'sign in' link, and a 'get started' Button — both linking to /signin.",web/components/marketing/Nav.tsx:24-78,"Playwright against local dev server: load /, assert header is hidden at top, scroll past 60vh and assert it becomes visible, click each anchor and assert hash navigation; assert 'sign in' and 'get started' both point to /signin.",done,fail,"Static read Nav.tsx:24-78 confirms scroll-reveal (hidden opacity-0 -translate-y-full pointer-events-none at top, shown once scrollY > innerHeight*0.6), Wordmark + #how/#pricing/#faq pose-icon anchors (hidden below md), a 'sign in' Link and a 'get started' Button both -> /signin. BUT Playwright landing.spec.ts:32 'has a sign-in affordance linking to /signin' FAILED: header sign-in link never enters viewport at the top fold (pointer-events-none + translated out), so .click() times out — a returning user has no clickable sign-in until they scroll past 60vh.","landing.spec.ts:32 RED — header 'sign in' link is off-screen (Nav scroll-reveal, -translate-y-full + pointer-events-none until scrollY>60vh) so .click() times out.",low,ux,done,web/e2e/landing.spec.ts:32 — reveal scroll-reveal nav (scrollTo 0.7*vh) before clicking header sign-in,pass,"adversarial=stale_test: PRODUCT fine — Hero 'get started'->/signin visible+clickable in first fold (landing.spec.ts:45 passes); scroll-reveal nav is intentional redesign (commits 1eb7101/7a6caf5, Nav.tsx:13-15). FIX=update the test (scroll past 60vh before header click, or assert hero CTA), not the product | FIXED: stale test updated; landing.spec 4/4 green."
WEB-02,web,Hero (wallpaper fold),"As a visitor, I can see a clean hero over the throne video with one tagline and a CTA so that the first screen reads as a living wallpaper, not a busy page.","Full-viewport (min-h-dvh) section, content bottom-aligned: a single tagline line, a 'get started' Button linking to /signin, and an animated bounce scroll-cue chevron (aria-hidden). Elements fade up via the 'rise' animation with staggered delays.",web/components/marketing/Hero.tsx:8-27,"Playwright on local dev: load /, assert the tagline text and a get-started link to /signin are present in the hero; static read confirms the scroll cue is aria-hidden.",done,pass,"Static read Hero.tsx:8-27 confirms min-h-dvh section, content bottom-aligned (justify-end), single tagline <p> 'meet dhizume — an ai assistant who can do real things.', a 'get started' Link -> /signin, an aria-hidden animated bounce scroll-cue chevron, all with 'rise' animation + staggered delays (120ms/240ms). Playwright landing.spec.ts:45 'primary get started CTA -> /signin' PASSED (covers the hero CTA reaching /signin).",,none,none,n/a,,n/a,"Checklist's 'BubbleMock preview' and 'live badge' are NOT in Hero — the chat preview and 'live now' badge live in PhoneShowcase (WEB-03) | Catalog note correct: BubbleMock/live-badge live in PhoneShowcase (WEB-03), not Hero."
WEB-03,web,PhoneShowcase animated Telegram thread,"As a visitor, I can watch a looping Telegram chat where dhizume takes a hard request, 'works', and replies with a file/table/checklist/card so that I believe she does real tasks, not just chat.","Client component renders a phone with a thread that cycles scenarios via a step clock (advance + stepDelay): step 0 user bubble, 1 typing indicator with a work label, 2 reply text, 3 a rich artifact (FileChip/MiniTable/Checklist/InfoCard). Carries a 'live now' Badge and the 'she does the work' headline + CTAs. Reduced-motion users stay static on the first fully-revealed thread (FINAL_STEP). The conversation has role=img with a descriptive aria-label.",web/components/marketing/PhoneShowcase.tsx:166-308; web/components/marketing/phoneScenarios.ts:21-165,"Playwright on local dev: load /, assert the 'live now' badge and headline render; emulate prefers-reduced-motion: reduce and assert the thread shows a full first scenario statically. Unit-test advance()/stepDelay()/FINAL_STEP via tsc/node import since phoneScenarios is framework-free.",done,pass,"Unit test components/marketing/phoneScenarios.test.mts PASSED (node --test: 1 pass, 0 fail — validates advance()/stepDelay()/FINAL_STEP, framework-free). Static read PhoneShowcase.tsx:166-308 confirms: step clock cycles 0 user bubble / 1 typing indicator with work label / 2 reply / 3 RichBlock(FileChip/MiniTable/Checklist/InfoCard); 'live now' Badge (line 262-265) + 'she does the work' headline (266-270) + CTAs; reduced-motion branch (172-174) returns early so the thread stays static on FINAL_STEP; conversation has role=img + descriptive aria-label (211-213).",,none,none,n/a,,n/a,"Replaces the checklist's BubbleMock + Capabilities bento + HowItWorks 3-step + Showcase marquee, none of which exist as separate components. The 'how it works' #how anchor is on this section | Section carries the #how anchor. The headline here is an <h1>; landing has exactly one h1 (other sections use h2), so no heading-level conflict."
WEB-04,web,Pricing TierGrid,"As a visitor, I can compare free/pro/max plans with per-tier feature checklists so that I can pick the right amount of headroom before signing up.","Renders one card per TIERS entry (free/pro/max) with price ('free' or $N/mo), quota ('N turns / mo'), blurb, a per-tier feature checklist (on=check, off=x), channel badges, and a 'get started' Button to /signin. The highlighted (pro) tier gets a lime ring and a 'most picked' badge and a primary CTA; others get secondary. Section id=pricing.",web/components/marketing/TierGrid.tsx:71-158; web/lib/tiers.ts:17-43,"Playwright on local dev: load /#pricing, assert three cards, that pro shows 'most picked', and prices/quotas match lib/tiers (free 100, pro $19/1000, max $49/5000); assert each card CTA links to /signin.",done,fail,"Static read TierGrid.tsx:71-158 + lib/tiers.ts:17-43: three cards (free/pro/max), pro highlighted with lime ring + 'most picked' badge + primary CTA (others secondary), per-tier feature checklist (on=check/off=x), channel badges, each CTA Link -> /signin, section id=pricing. Prices/quotas match catalog (free $0/100, pro $19/1000, max $49/5000). Playwright landing.spec.ts:12 'three tier labels' + :25 'both channels' PASSED. BUT TierGrid.tsx:101-102 renders quota as 'N turns / mo', while the wizard TierCard (ConnectWizard.tsx:221 'N messages / month') and dashboard (TierCard.tsx:80 / UsagePanel subtitle 'messages this period') say messages.","TierGrid.tsx:101 renders msgQuota as 'N turns / mo' while ConnectWizard.tsx:221 + TierCard.tsx:80 say 'N messages / month' — same number, two nouns across pricing->connect->dashboard funnel.",low,ux,done,web/components/marketing/TierGrid.tsx:101 'turns / mo'->'messages / month',pass,adversarial=real (cosmetic UX). FIX=use one noun ('messages') everywhere | FIXED: all 3 funnel surfaces say 'messages / month'; web build green.
WEB-05,web,FAQ accordion (native details),"As a visitor, I can expand FAQ items to read answers so that I can resolve common doubts (real browser, privacy, cost) without leaving the page.","Section id=faq renders 5 native <details>/<summary> items (zero JS, keyboard-accessible). The summary hides the default webkit marker and shows a chevron that rotates 45deg via group-open when expanded. Answers are in a <p> below each summary.",web/components/marketing/Faq.tsx:32-63,"Playwright on local dev: load /#faq, click a summary and assert the answer becomes visible (details[open]); confirm keyboard Enter toggles it.",done,pass,"Static read Faq.tsx:32-63: section id=faq, 5 native <details>/<summary> items (zero JS, keyboard-accessible by default), summary hides the webkit marker ([&::-webkit-details-marker]:hidden) and shows a chevron that rotates 45deg via group-open (group-open:rotate-45), answers in a <p> below each summary. Native <details> gets keyboard Enter toggle for free.",,none,none,n/a,,n/a,
WEB-06,web,CtaBand closing call-to-action,"As a visitor, I can see a final centered call-to-action so that I have one clear last chance to start before the footer.","Full-width centered band over an aurora glow (aria-hidden) with a headline, sub-copy, and a single 'get started' primary Button linking to /signin. Wrapped in .reveal for scroll-in animation.",web/components/marketing/CtaBand.tsx:7-28,"Playwright on local dev: scroll to the band, assert the headline and the get-started link to /signin are present.",done,pass,"Static read CtaBand.tsx:7-28: full-width centered band over an aurora glow (aria-hidden), headline 'your assistant is one text away.', sub-copy, a single 'get started' primary Button Link -> /signin, wrapped in .reveal. Web build GREEN (renders on / route).",,none,none,n/a,,n/a,
WEB-07,web,Footer,"As a visitor, I can use the footer to revisit sections or sign in so that I always have navigation at the bottom of the page.","Server component: live Wordmark + tagline, an anchor cluster (#how, #pricing, #faq) plus a /signin Link, and a 'lowercase by design' signature.",web/components/marketing/Footer.tsx:6-26,"Playwright on local dev / static read: assert footer contains the three anchors, a sign-in link to /signin, and the Wordmark.",done,pass,"Static read Footer.tsx:6-26: server component with Wordmark + tagline 'a real assistant, in your chat.', anchor cluster #how/#pricing/#faq + a /signin Link, and the 'lowercase by design' signature.",,none,none,n/a,,n/a,"Footer sign-in link is the always-present sign-in affordance, but it is below the fold (see WEB-01)."
WEB-08,web,VideoBackground (throne wallpaper),"As a visitor, I can see a looping ambient video behind the landing so that the brand feels alive while text stays readable.","Pure-HTML, no-JS, aria-hidden fixed full-bleed background: a desktop 16:9 <video> (hidden sm:block) and a mobile 9:16 <video> (block sm:hidden), both autoPlay/muted/loop/playsInline with poster fallbacks, over a dark scrim for WCAG contrast. Reduced-motion users see the static poster (videos hidden via CSS).",web/components/marketing/VideoBackground.tsx:8-39; web/app/page.tsx:14-31,"Static read + Playwright on local dev: assert two <video> elements with the correct responsive classes, poster attrs, and the scrim div; confirm only landing renders it (dashboard/connect/signin do not).",done,pass,"Static read VideoBackground.tsx:8-39: aria-hidden fixed full-bleed bg, desktop 16:9 <video class='hidden sm:block'> and mobile 9:16 <video class='block sm:hidden'>, both autoPlay/muted/loop/playsInline with poster fallbacks, plus a dark scrim div. page.tsx:14-31 renders VideoBackground only on the landing (dashboard/connect/signin pages do not import it). Reduced-motion poster fallback is handled in CSS (.video-bg-media hidden).",,none,none,n/a,,n/a,"Not in checklist (checklist had it bundled under Hero/BubbleMock); it is a distinct, real component | Confirmed distinct, real component; only rendered on /."
WEB-09,web,RevealObserver scroll-in,"As a visitor, I can have sections fade in as I scroll so that the page feels crafted, while reduced-motion and no-JS users still see all content.","Client effect adds 'reveal-in' to .reveal elements once they intersect the viewport (then unobserves), via IntersectionObserver (rootMargin -8% bottom, threshold 0.12). Falls back to showing all immediately when prefers-reduced-motion or IntersectionObserver is unavailable. A MutationObserver re-scans on client navigations so wizard/dashboard reveals work. A <noscript> style in layout forces .reveal visible without JS.",web/components/RevealObserver.tsx:9-52; web/app/layout.tsx:41-51,Playwright on local dev: assert .reveal elements gain reveal-in on scroll; emulate reduced-motion and assert all .reveal are shown immediately. Static read confirms the noscript fallback.,done,pass,"Static read RevealObserver.tsx:9-52: adds 'reveal-in' to .reveal once they intersect then unobserves (IntersectionObserver rootMargin '0px 0px -8% 0px', threshold 0.12); falls back to showAll() when prefers-reduced-motion or IntersectionObserver missing; a MutationObserver re-scans on DOM mutations (client nav). layout.tsx:41-43 has the <noscript> style forcing .reveal visible without JS. Web build GREEN.",,none,none,n/a,,n/a,
WEB-10,web,Wordmark (pulsing dot),"As a visitor, I can see the dhizume wordmark with a living pulse so that the brand reads as an always-on assistant and I can click back home.","Link (default href=/) with the masked avatar in a ring plus an animated rose dot (ping-ring + pulse-dot, aria-hidden) and the lowercase mono name. Used in Nav and Footer.",web/components/marketing/Wordmark.tsx:8-41,Static read + Playwright: assert the Wordmark links to '/' and renders the avatar image and pulse dot.,done,pass,"Static read Wordmark.tsx:8-41: Link with default href='/', masked avatar Image in a ring plus an animated rose dot (ping-ring + pulse-dot, aria-hidden) and the lowercase mono name 'dhizume'. Imported by Nav.tsx and Footer.tsx. Web tsc+build GREEN.",,none,none,n/a,,n/a,
